farmer_id,location,NDVI,avg_rainfall,avg_temp,crop_type,price_of_crop,farm_size_in_squire_meter,previous_loans_count,defaulted_loans_count,crop_yeild_per_squiremeter,total_yield(ksh),sesional_expense,credict_score,interest_rate,loan_limit,loan_duration
FARM_963,"""-1.21677689471952854560754531121347099542617798,36.9891""",0.58,585,17.2,Cotton,146,2118,1,0,0.49,151521.72,32986,617,14.2,57894,19
FARM_964,"""4.14164304961222118350860910140909254550933838,36.6633""",0.8,640,21.9,Beans,100,3152,1,0,1.12,353024.0,21774,516,13.8,120028,11
FARM_965,"""2.10754365884606809089518719702027738094329834,35.4092""",0.77,721,23.6,Potatoes,68,919,1,1,1.22,76240.24,9538,469,18.7,24429,30
FARM_966,"""0.86752390303244020230977184837684035301208496,38.8581""",0.69,1185,22.2,Wheat,56,1492,1,0,0.94,78538.88,5459,595,13.2,29288,18
FARM_967,"""-3.24902664388534034856093057896941900253295898,37.8130""",0.62,800,20.6,Tomatoes,79,2582,0,0,1.75,356961.5,78271,702,10.2,149031,17
FARM_968,"""-3.24925096087331555239074987184721976518630981,40.9256""",0.63,441,19.5,Cotton,191,2167,1,0,0.53,219365.41,25414,628,11.4,84821,18
FARM_969,"""-4.15982240683574477912998190731741487979888916,34.2569""",0.45,1352,26.1,Coconut,62,300,0,0,1.36,25296.0,4224,847,8.7,12089,7
FARM_970,"""3.35543815570689840654949875897727906703948975,39.1509""",0.79,959,20.9,Tomatoes,46,6881,3,0,1.76,557085.76,96048,668,12.8,224691,17
FARM_971,"""0.89036960921184249428961265948601067066192627,40.1036""",0.63,943,23.3,Wheat,89,9011,4,1,0.98,785939.42,168263,559,16.3,281301,31
FARM_972,"""1.88507497350322328344418565393425524234771729,40.0759""",0.36,646,23.9,Maize,99,1099,1,0,0.68,73984.68,18105,676,12.4,30087,29
FARM_973,"""-4.50856420304903782181327187572605907917022705,41.0886""",0.37,899,17.7,Cotton,175,948,1,0,0.76,126084.0,13481,900,8.0,63042,22
FARM_974,"""4.32016162510654755379846392315812408924102783,39.8323""",0.8,776,21.6,Tomatoes,76,937,1,1,1.21,86166.52,12240,711,11.3,36298,23
FARM_975,"""3.04171655944392238524187632719986140727996826,41.4225""",0.64,360,26.6,Tea,294,1352,1,1,1.39,552508.32,87728,560,14.4,197982,11
FARM_976,"""-2.72524627069203173590494770905934274196624756,36.6613""",0.48,813,23.0,Sorghum,51,1537,2,0,0.33,25867.71,2475,696,11.0,10735,19
FARM_977,"""-3.00902780497396449277403007727116346359252930,38.0257""",0.33,386,23.6,Maize,75,927,4,0,0.96,66744.0,5571,582,13.6,24528,21
FARM_978,"""-2.99433805836306543568525739829055964946746826,34.1126""",0.63,775,20.5,Coffee,357,10434,2,1,0.7,2607456.6,134871,584,14.7,960413,19
FARM_979,"""-1.87054714047629921935822494560852646827697754,34.0557""",0.33,798,25.8,Beans,146,2158,2,0,1.23,387533.64,23444,604,13.4,145971,15
FARM_980,"""0.18023481417981201957445591688156127929687500,35.9210""",0.53,472,28.8,Tea,297,3435,1,1,0.67,683530.65,137877,427,18.0,207053,17
FARM_981,"""-0.68291132662832332300695270532742142677307129,34.8065""",0.67,729,19.3,Tea,284,4302,1,0,0.76,928543.68,180124,623,13.8,357102,14
FARM_982,"""-1.99156899615821014748462403076700866222381592,36.0817""",0.6,849,24.7,Wheat,67,5175,3,0,1.25,433406.25,23971,540,13.9,151692,23
FARM_983,"""0.99023192091812894943814171710982918739318848,35.4163""",0.85,572,17.2,Sorghum,62,3181,2,1,0.88,173555.36,25107,649,12.6,68627,29
FARM_984,"""-3.40270709593601106135452027956489473581314087,34.2282""",0.23,814,24.1,Coconut,119,1442,1,0,1.24,212781.52,16527,546,15.5,75005,30
FARM_985,"""-1.98305476862247109792747323808725923299789429,41.2744""",0.4,1018,23.5,Wheat,105,1580,2,0,1.12,185808.0,17190,728,11.0,79588,23
FARM_986,"""-1.29283485736866721182991568639408797025680542,34.0658""",0.24,911,18.0,Sorghum,36,3718,2,0,0.59,78970.32,18403,744,10.6,34352,23
FARM_987,"""-0.45854914678156610818859917344525456428527832,39.8887""",0.34,623,25.2,Tomatoes,89,4688,0,0,1.65,688432.8,126083,750,14.8,301189,26
FARM_988,"""2.60213644095502694142396649112924933433532715,35.2172""",0.29,1063,18.5,Cotton,206,394,1,0,0.91,73859.24,8758,567,15.6,26682,18
FARM_989,"""-2.84303382592725473188011164893396198749542236,41.2978""",0.71,888,28.8,Beans,87,5991,1,0,0.61,317942.37,76232,829,9.5,149565,17
FARM_990,"""0.08238027724658802952717451262287795543670654,41.1424""",0.46,658,22.5,Maize,80,14976,2,0,0.84,1006387.2,238226,634,15.3,391652,11
FARM_991,"""0.80945549041699482728517978102900087833404541,39.2312""",0.85,546,21.5,Tea,244,1059,0,0,1.16,299739.36,39279,505,15.0,100538,31
FARM_992,"""-4.26801116170402128346950121340341866016387939,39.3779""",0.22,855,19.7,Coconut,74,1661,0,0,1.35,165933.9,17168,765,10.2,73633,19
FARM_993,"""0.95016712268337677471663482720032334327697754,34.0427""",0.66,971,24.1,Wheat,73,4611,3,1,0.75,252452.25,60407,512,15.2,85413,36
FARM_994,"""-3.11412564970818905862870451528578996658325195,41.8790""",0.88,984,23.2,Beans,124,525,1,0,0.58,37758.0,8273,439,14.9,11626,22
FARM_995,"""-4.09502018523690036744255849043838679790496826,41.0227""",0.32,854,22.5,Maize,119,2629,2,0,1.12,350393.12,46406,691,13.6,144683,28
FARM_996,"""4.12463549645600036086534601054154336452484131,41.1608""",0.51,615,19.4,Beans,90,2381,2,0,1.0,214290.0,26233,683,10.2,87770,23
FARM_997,"""4.28037790759340186497183822211809456348419189,39.2740""",0.69,842,21.1,Tea,215,335,2,0,1.06,76346.5,13649,885,9.1,37696,19
FARM_998,"""2.81809533748308904677060127141885459423065186,36.7583""",0.64,485,19.4,Cotton,149,439,1,0,0.96,62794.56,13661,604,14.5,23653,14
FARM_999,"""-1.86709194668765254832010214158799499273300171,41.1492""",0.6,773,16.0,Vegetables,84,11836,0,0,1.54,1531104.96,110823,610,12.6,580544,19
FARM_1000,"""-3.79164933974062989818776259198784828186035156,36.3321""",0.43,1150,21.5,Coconut,58,2509,0,0,1.32,192089.04,32246,642,14.8,75395,14
FARM_1001,"""1.66336714656305950654768821550533175468444824,38.5017""",0.71,448,18.1,Sorghum,71,2145,2,0,0.63,95945.85,11214,561,14.7,34421,17
FARM_1002,"""-0.60658180822170759682876450824551284313201904,34.7978""",0.66,562,29.1,Coffee,422,7649,0,0,0.5,1613939.0,194132,595,14.9,601865,25
